time,open,high,low,close,Volume,Volume MA
2016-07-04T00:00:00Z,664.09,683.69,653.16,681.98,4274,10333.4
2016-07-05T00:00:00Z,681.98,682.37,662.51,669.87,4999,10190.2
2016-07-06T00:00:00Z,669.75,680.79,665,678.79,5623,9631.45
2016-07-07T00:00:00Z,678.79,683.44,611.94,641.97,12262,9545.05
2016-07-08T00:00:00Z,641.97,667.33,638.04,667.33,11038,9618.1
2016-07-09T00:00:00Z,667.07,667.3,608,657.61,9590,9827.25
2016-07-10T00:00:00Z,657.6,657.61,641,652.44,3689,9525.95
2016-07-11T00:00:00Z,652.43,664.27,648.11,650.97,4782,8463.3
2016-07-12T00:00:00Z,651.25,675.5,648.6,666.56,10656,8217.6
2016-07-13T00:00:00Z,666.25,671.45,654.86,655.34,21870,8287.05
2016-07-14T00:00:00Z,655.3,663.99,640,661.65,4548,7561.4
2016-07-15T00:00:00Z,661.4,669.98,660.68,667.48,4682,7412.4
2016-07-16T00:00:00Z,667.48,669.99,662.01,666.32,2848,7272.95
2016-07-17T00:00:00Z,666.3,680.99,665.95,680,3888,7138.6
2016-07-18T00:00:00Z,680,684.94,670,675.5,4494,7080.4
2016-07-19T00:00:00Z,675.51,676.87,666.17,673.98,3752,6945.2
2016-07-20T00:00:00Z,673.98,674.99,664.6,666.92,3554,6736.2
2016-07-21T00:00:00Z,667.15,668.4,661.19,667.28,3921,6591.7
2016-07-22T00:00:00Z,667.27,669.94,647.59,654.67,7351,6712.95
2016-07-23T00:00:00Z,654.7,662.35,653.92,657.5,4359,6609
2016-07-24T00:00:00Z,657.68,666.37,655.01,661,3373,6563.95
2016-07-25T00:00:00Z,660.92,664.13,653.77,657.79,4059,6516.95
2016-07-26T00:00:00Z,657.99,658.99,645,654.06,6442,6557.9
2016-07-27T00:00:00Z,654.06,658.99,646.56,657.35,5134,6201.5
2016-07-28T00:00:00Z,657,659.97,654.1,657.4,3777,5838.45
2016-07-29T00:00:00Z,657.4,659,651,657,4183,5568.1
2016-07-30T00:00:00Z,657.18,658.98,652.95,655.87,2917,5529.5
2016-07-31T00:00:00Z,655.95,657,621.37,626.97,6252,5603
2016-08-01T00:00:00Z,626.97,629.34,599,605.2,7940,5467.2
2016-08-02T00:00:00Z,604.87,613.38,483,537.47,14824,5114.9
2016-08-03T00:00:00Z,538.8,576,519.3,573.36,20208,5897.9
2016-08-04T00:00:00Z,573.35,599.95,562.11,587.5,9507,6139.15
2016-08-05T00:00:00Z,587.5,592.87,570.39,583,5451,6269.3
2016-08-06T00:00:00Z,583,591.72,574.5,591.71,3836,6266.7
2016-08-07T00:00:00Z,591.7,598.65,587.2,595.14,3223,6203.15
2016-08-08T00:00:00Z,595.14,595.99,590,591.48,3809,6206
2016-08-09T00:00:00Z,591.58,594.04,585.38,586.45,4782,6267.4
2016-08-10T00:00:00Z,586.75,601.09,583.29,594.94,9400,6541.35
2016-08-11T00:00:00Z,594.94,599.99,585.6,587.91,5017,6424.65
2016-08-12T00:00:00Z,587.9,590.09,583.62,587.74,3818,6397.6
2016-08-13T00:00:00Z,587.68,589.5,586,586.45,2771,6367.5
2016-08-14T00:00:00Z,586.45,586.49,565.19,574.99,4108,6369.95
2016-08-15T00:00:00Z,574.97,574.97,561.56,567.79,4369,6266.3
2016-08-16T00:00:00Z,567.85,581.99,566.09,579.02,4638,6241.5
2016-08-17T00:00:00Z,579.02,581.99,569.67,574.45,4455,6275.4
2016-08-18T00:00:00Z,574.45,576.99,573,574.09,3915,6262
2016-08-19T00:00:00Z,574.05,576.99,572.68,573.67,3974,6314.85
2016-08-20T00:00:00Z,573.68,583.92,572.38,581.87,3534,6178.95
2016-08-21T00:00:00Z,581.72,583.99,579.34,581.29,2368,5900.35
2016-08-22T00:00:00Z,581.34,586.99,579.22,585.2,4446,5381.45
2016-08-23T00:00:00Z,585.19,586.77,577.47,582.39,5026,4622.35
2016-08-24T00:00:00Z,582.39,582.68,575.29,578.47,3802,4337.1
2016-08-25T00:00:00Z,578.68,579,573.12,575.58,4057,4267.4
2016-08-26T00:00:00Z,575.57,579.86,574.85,579.29,3244,4237.8
2016-08-27T00:00:00Z,579.29,579.45,568.95,570.84,3047,4229
2016-08-28T00:00:00Z,570.83,575.41,569.65,575.41,2521,4164.6
2016-08-29T00:00:00Z,575.41,577.73,571.24,573.21,4494,4150.2
2016-08-30T00:00:00Z,573.21,576.83,572.53,574.95,4127,3886.55
2016-08-31T00:00:00Z,574.95,575.15,569.21,572.89,4396,3855.5
2016-09-01T00:00:00Z,572.89,573.31,568.12,573.02,5183,3923.75
2016-09-02T00:00:00Z,572.94,577.97,570,576.21,4796,4025
2016-09-03T00:00:00Z,576.41,600.99,574.67,600.91,4618,4050.5
2016-09-04T00:00:00Z,600.93,617.13,597.52,611.92,4527,4058.4
2016-09-05T00:00:00Z,611.94,611.99,601.63,605.69,2949,3973.95
2016-09-06T00:00:00Z,605.93,612.99,605.47,612.99,4099,3956.15
2016-09-07T00:00:00Z,612.99,618.53,609.21,615.21,4626,3991.7
2016-09-08T00:00:00Z,615.22,631.3,613.43,627.97,5172,4051.6
2016-09-09T00:00:00Z,627.97,628.69,618.25,622.07,4448,4097.3
2016-09-10T00:00:00Z,622.07,626.54,620.59,623.74,2758,4116.8
2016-09-11T00:00:00Z,623.58,630.11,591.8,607.94,4219,4105.45
2016-09-12T00:00:00Z,607.94,609.45,603,606.74,3919,4050.1
2016-09-13T00:00:00Z,606.86,609.99,605.16,608.63,3846,4052.3
2016-09-14T00:00:00Z,608.39,611.99,608,608.43,3684,4033.65
2016-09-15T00:00:00Z,608.47,609.49,603.33,605.44,3912,4067.05
2016-09-16T00:00:00Z,605.43,608.1,603.15,607.93,4125,4120.95
2016-09-17T00:00:00Z,607.95,608.99,604,607.92,2878,4138.8
2016-09-18T00:00:00Z,607.92,611.93,607.22,611.4,3012,4064.7
2016-09-19T00:00:00Z,611.4,612.46,607.4,608.6,3243,4020.5
2016-09-20T00:00:00Z,608.6,609.92,605.6,605.6,4523,4026.85
2016-09-21T00:00:00Z,605.6,605.6,592.63,597,4835,4009.45
2016-09-22T00:00:00Z,597,598.54,594.78,596.21,3959,3967.6
